Team,Diagnosis Code,Z score
UW-biostat,S06.9,-56.8616296
UW-biostat,S06.9X,-56.8616296
UW-biostat,S06.9X1,1.050934745
UW-biostat,M51.8,7.347681395
UW-biostat,M51.87,4.202453596
UW-biostat,R29.8,82.95966027
UW-biostat,R29.89,7.320912526
UW-biostat,R29.898,7.320912526
UW-biostat,E13,4.199849192
UW-biostat,E13.6,6.304269556
UW-biostat,H60-H95,103.9261382
UW-biostat,H90-H94,93.39012391
UW-biostat,H93,28.20087447
UW-biostat,H93.1,17.78739863
UW-biostat,H93.11,-1.050867982
UW-biostat,F40-F48,88.60185827
UW-biostat,F43,-46.73329502
UW-biostat,F43.1,-30.25901487
UW-biostat,F43.10,-17.72643139
UW-biostat,M54.4,-35.59122143
UW-biostat,M54.42,-29.38499017
UW-biostat,M15-M19,-137.5037757
UW-biostat,M16,-37.77097284
UW-biostat,M16.0,-5.250215292
UW-biostat,M79.62,12.59081968
UW-biostat,M79.622,11.54869673
UW-biostat,S60-S69,101.8157472
UW-biostat,S63,14.66749582
UW-biostat,S63.6,4.201308494
UW-biostat,S63.64,2.101924463
UW-biostat,S63.641,1.051173942
UW-biostat,R51,14.45817256
UW-biostat,E66.0,-58.52629343
UW-biostat,E66.09,-1.17E-11
UW-biostat,G40-G47,-128.0262362
UW-biostat,G47,-104.4490299
UW-biostat,G47.0,-2.073242551
UW-biostat,G47.09,3.149792092
UW-biostat,S62,21.94129924
UW-biostat,S62.5,-9.464171541
UW-biostat,S62.51,1.051040626
UW-biostat,S62.511,-1.17E-11
UW-biostat,R70-R79,165.0942116
UW-biostat,R73,116.7579223
UW-biostat,R73.9,112.9103539
UW-biostat,K20-K31,384.4651743
UW-biostat,K31,67.35259718
UW-biostat,K31.8,11.4661729
UW-biostat,K31.89,31.27283384
UW-biostat,K31.7,3.14856745
UW-biostat,Q00-Q99,-118.6580715
UW-biostat,Q38-Q45,3.15013349
UW-biostat,S40,15.73201365
UW-biostat,S40.8,5.253498724
UW-biostat,M79.5,8.402433746
UW-biostat,K21,305.4629406
UW-biostat,K21.9,282.2457303
UW-biostat,R06,-7.158875564
UW-biostat,R06.0,-24.68413429
UW-biostat,R06.00,34.40494294
UW-biostat,M79.621,3.151604592
UW-biostat,D35,-16.81237234
UW-biostat,D35.0,1.050883762
UW-biostat,G89.4,-22.04249791
UW-biostat,F17.20,-49.07895255
UW-biostat,F17.200,-49.08905208
UW-biostat,Z00-Z99,929.393536
UW-biostat,Z20-Z29,2.092681116
UW-biostat,Z21,-17.83215191
UW-biostat,C76-C80,689.9813684
UW-biostat,C78,531.8476232
UW-biostat,C78.7,282.8069531
UW-biostat,J44,-69.95264675
UW-biostat,J44.9,-68.99660881
UW-biostat,F14,5.241548006
UW-biostat,F14.1,10.49002821
UW-biostat,F14.10,9.44307007
UW-biostat,C79,589.3560532
UW-biostat,C79.8,226.655275
UW-biostat,C79.89,211.5280436
UW-biostat,I71,-38.84472514
UW-biostat,I71.2,-27.33843553
UW-biostat,N17-N19,1108.66251
UW-biostat,N18,46.92961001
UW-biostat,N18.3,-63.67423641
UW-biostat,A00-B99,840.643376
UW-biostat,B20-B20,-39.7252756
UW-biostat,B20,-39.7252756
UW-biostat,Z77-Z99,968.6800511
UW-biostat,Z90,155.3331824
UW-biostat,Z90.5,15.73230772
UW-biostat,E11.65,47.74068499
UW-biostat,S20-S29,111.2075225
UW-biostat,S29,-11.52018047
UW-biostat,S29.0,7.350536585
UW-biostat,S29.01,7.350646376
UW-biostat,S29.012,4.202281067
UW-biostat,S29.012A,4.20235949
UW-biostat,S10-S19,52.7809422
UW-biostat,S16,12.57325557
UW-biostat,S16.1,12.57363255
UW-biostat,S16.1XXA,9.434309299
UW-biostat,J30-J39,78.71197486
UW-biostat,J30,38.49931526
UW-biostat,J30.2,12.57438647
UW-biostat,O00-O9A,151.4586062
UW-biostat,O09-O09,56.16658547
UW-biostat,O09,56.16658547
UW-biostat,O09.8,6.29961158
UW-biostat,O09.89,4.2010104
UW-biostat,O09.893,2.101642134
UW-biostat,O10-O16,10.4896751
UW-biostat,O14,2.101947989
UW-biostat,O94-O9A,71.5730165
UW-biostat,O99,68.50165753
UW-biostat,O99.1,6.302176265
UW-biostat,O99.11,2.101916621
UW-biostat,O99.113,1.051173942
UW-biostat,O99.5,7.349630737
UW-biostat,O99.51,-1.17E-11
UW-biostat,D65-D69,970.0244197
UW-biostat,D69,469.543269
UW-biostat,D69.6,396.3714927
UW-biostat,Z30-Z39,69.71102958
UW-biostat,Z3A,141.461597
UW-biostat,Z3A.3,80.80406157
UW-biostat,Z3A.36,25.11138925
UW-biostat,E00-E07,156.1544042
UW-biostat,E03,163.47843
UW-biostat,E03.9,158.8028852
UW-biostat,I60-I69,162.6487731
UW-biostat,I63,36.50450834
UW-biostat,I63.5,26.20221928
UW-biostat,I63.50,-6.309398923
UW-biostat,Z90.4,101.5990662
UW-biostat,Z90.49,101.5990662
UW-biostat,D12,-25.09801624
UW-biostat,D12.6,-12.59573483
UW-biostat,R29.81,72.98422485
UW-biostat,R29.810,77.19973978
UW-biostat,K55-K64,593.9895302
UW-biostat,K63,67.2473015
UW-biostat,K63.5,4.172447787
UW-biostat,I30-I52,604.1065841
UW-biostat,I45,81.20833664
UW-biostat,I45.1,43.94314257
UW-biostat,I45.10,46.03059082
UW-biostat,I20-I25,31.54116504
UW-biostat,I25,-44.10872712
UW-biostat,I25.1,-74.25359279
UW-biostat,I25.10,-25.73348541
UW-biostat,I44,45.85792752
UW-biostat,I44.0,10.49367632
UW-biostat,R47,32.36626441
UW-biostat,R47.8,5.250224426
UW-biostat,R47.81,6.30255264
UW-biostat,Z14-Z15,27.21394383
UW-biostat,Z14,4.202626117
